Subject,Module no,Module content,Keywords
Mobile Computing,3.0,Mobile Networking,"Medium Access Protocol, Internet Protocol and Transport layer, Mobile IP: IP Packet Delivery, Agent Advertisement and Discovery, Registration, Tunneling and Encapsulation, Reverse Tunneling, Mobile TCP, Traditional TCP, Indirect TCP, Snooping TCP, Mobile TCP, Fast Retransmit / Fast Recovery, Transmission / Timeout Freezing, Selective Retransmission"
Mobile Computing,4.0,Wireless Local Area Networks,"Introduction to WLANs, Infrastructure and ad-hoc network, IEEE 802.11: System architecture, Protocol architecture, Physical layer, MAC layer, MAC management, a, b, Wi-Fi security: WEP, WPA, Wireless LAN Threats, Securing Wireless Networks, Bluetooth: Introduction, User Scenario, Architecture, Protocol stack"
Mobile Computing,5.0,Mobility Management,"Mobility Management: Introduction, IP Mobility, Optimization, IPv6, Macro Mobility: MIPv6, FMIPv6, Micro Mobility: CellularIP, HAWAII, HMIPv6"
Mobile Computing,6.0,Long-Term Evolution (LTE) of 3GPP,"LTE System Overview, Evolution from UMTS to LTE, LTE/SAE Requirements, SAE Architecture, EPS: Evolved Packet System, E-UTRAN, Voice over LTE (VoLTE), Introduction to LTE-Advanced, Self Organizing Network (SON-LTE), SON for Heterogeneous Networks (HetNet), Comparison between 2G, 3G, 4G and 5G, Introduction to 5G"
Artificial Intelligence,1.0,Introduction to Artificial Intelligence,"Introduction, History of Artificial Intelligence, Intelligent Systems: Categorization of Intelligent System, Components of AI Program, Foundations of AI, Sub-areas of AI, Applications of AI, Current trends in AI"
Artificial Intelligence,2.0,Intelligent Agents,"Agents and Environments, The concept of rationality, The nature of environment, The structure of Agents, Types of Agents, Learning Agent, Solving problem by Searching: Problem Solving Agent, Formulating Problems, Example Problems"
Artificial Intelligence,3.0,Problem solving,"Uninformed Search Methods: Breadth First Search (BFS), Depth First Search (DFS), Depth Limited Search, Depth First Iterative Deepening (DFID), Informed Search Methods: Greedy Best First Search, A* Search, Memory Bounded Heuristic Search, Local Search Algorithms and Optimization Problems: Hill Climbing Search, Simulated Annealing, Genetic Algorithms, Adversarial Search: Game Playing, Min-Max Search, Alpha Beta Pruning"
Artificial Intelligence,4.0,Knowledge and Reasoning,"Knowledge Based Agents, Overview of Propositional Logic, First Order Logic: Syntax and Semantic, Inference in FOL, Forward Chaining, Backward Chaining, Knowledge Engineering in First-Order Logic, Unification, Resolution, Uncertain Knowledge and Reasoning: Uncertainty, Representing Knowledge in an Uncertain Domain, Semantics of Belief Network, Simple Inference in Belief Network"
Artificial Intelligence,5.0,Planning and Learning,"The Planning Problem, Planning with State Space Search, Partial Order Planning, Hierarchical Planning, Conditional Planning, Learning: Forms of Learning, Theory of Learning, PAC Learning, Introduction to Statistical Learning, Introduction to Reinforcement Learning, Learning from Rewards, Passive Reinforcement Learning, Active Reinforcement Learning"
Artificial Intelligence,6.0,AI Applications,"Introduction to NLP - Language Models, Grammars, Parsing, Robotics - Robots, Robot Hardware, Problems Robotics Can Solve, AI Applications in Healthcare, Retail, Banking"
Internet of Things,1.0,Introduction to Internet of Things (IoT),"What is IoT? - IoT and Digitization, IoT Impact – Connected Roadways, Connected Factory, Smart Connected Buildings, Smart Creatures, Convergence of IT and OT, IoT Challenges, The oneM2M IoT Standardized Architecture, The IoT World Forum (IoTWF) Standardized Architecture, IoT Data Management and Compute Stack – Design considerations and Data related problems, Fog Computing, Edge Computing, The Hierarchy of Edge, Fog and Cloud"
Internet of Things,2.0,Things in IoT,"Sensors/Transducers – Definition, Principles, Classifications, Types, Characteristics and Specifications, Actuators – Definition, Principles, Classifications, Types, Characteristics and Specifications, Smart Object – Definition, Characteristics and Trends, Sensor Networks – Architecture of Wireless Sensor Network, Network Topologies, Enabling IoT Technologies - RFID, MEMS, NFC, BLE, LTE-A, IEEE 802.15.4, ZigBee"
Internet of Things,3.0,The Core IoT Functional Stack,"Layer 1 – Things: Sensors and Actuators Layer, Layer 2 – Communications Network Layer, including Access Network, Gateways, Network Transport, IoT Network Management, Layer 3 – Applications and Analytics Layer, Analytics Vs. Control Applications, Data Vs. Network Analytics, Smart Services"
Internet of Things,4.0,Application Protocols for IoT,"The Transport Layer, IoT Application Transport Methods, Application Layer Protocol Not Present, SCADA - Background, Adapting SCADA for IP, Tunneling, Protocol Translation, Transport over LLNs, Generic Web-Based Protocols, IoT Application Layer Protocols – CoAP and MQTT"
Internet of Things,5.0,Domain Specific IoTs,"Home Automation – Smart Lighting, Smart Appliances, Intrusion Detection, Smoke/Gas Detectors, Cities – Smart Parking, Smart Lighting, Smart Roads, Structural Health Monitoring, Surveillance, Environment – Weather Monitoring, Air & Noise Pollution, Forest Fire, River Flood Detection, Energy – Smart Grids, Renewable Energy, Prognostics, Retail – Inventory, Smart Payments, Vending Machines, Logistics – Route Generation, Fleet Tracking, Shipment Monitoring, Agriculture – Smart Irrigation, Green House Control, Industry – Machine Diagnostics, Air Quality Monitoring, Health & Lifestyle – Health & Fitness Monitoring, Wearables"
Internet of Things,6.0,Create your own IoT,"IoT Hardware - Arduino, Raspberry Pi, ESP32, Cloudbit, Particle Photon, Beaglebone Black, IoT Software - languages for hardware, middleware, API development, front ends, REST, JSON-LD, Comparison of IoT boards and platforms: computing, development environments, communication standards, connectivity, Comparison of IoT software platforms"
Quantitative Analysis,1.0,Introduction to Statistics,"Functions – Importance – Uses and Limitations of Statistics, Statistical data – Classification, Tabulation, Diagrammatic & Graphic representation of data"
Quantitative Analysis,2.0,Data Collection & Sampling Methods,"Primary & Secondary data, Sources of data, Methods of collecting data, Sampling – Census & Sample methods – Methods of sampling, Probability Sampling and Non-Probability Sampling"
Quantitative Analysis,3.0,Introduction to Regression,Mathematical and Statistical Equation – Meaning of Intercept and Slope – Error term – Measure for Model Fit – R² – MAE – MAPE
Quantitative Analysis,4.0,Introduction to Multiple Linear Regression,"Multiple Linear Regression Model, Partial Regression Coefficients, Testing Significance, overall significance of fit of the model, Testing for Individual Regression Coefficients"
Quantitative Analysis,5.0,Statistical inference,"Random sample - Parametric point estimation: unbiasedness and consistency, Method of moments and method of maximum likelihood"
Quantitative Analysis,6.0,Tests of hypotheses,"Null and Alternative hypotheses, Types of errors, Neyman-Pearson lemma - MP and UMP tests"
