0,1,2,3,4,5,6,7,8,9,10,11,12,13
CSL504,"Business Comm. & Ethics
II",,--,--,,--,--,--,50,,--,,50
CSM501,Mini Project : 2A,,--,--,,--,--,--,25,,25,,50
Total,,,--,--,,100,400,--,175,,100,,775
"Department Level
Optional Courses",Semester,Code & Course,,,,,,,,,,,
"Department Level
Optional Course -1",V,"CSDLO5011: Probabilistic Graphical
Models
CSDLO5012: Internet Programming
CSDLO5013: Advance Database
Management System",,,,,,,,,,,
Course Code,Course Name,Credits,,,,,,,,,,,
CSC501,Theoretical Computer Science,3,,,,,,,,,,,
Prerequisite: Discrete Structures,,,,,,,,,,,,,
Course Objectives:,,,,,,,,,,,,,
1.,,,Acquire conceptual understanding of fundamentals of grammars and languages.,,,,,,,,,,
2.,,,"Build concepts of theoretical design of deterministic and non-deterministic finite
automata and push down automata.",,,,,,,,,,
3.,,,Develop understanding of different types of Turing machines and applications.,,,,,,,,,,
4.,,,Understand the concept of Undecidability.,,,,,,,,,,
"Course Outcomes: At the end of the course, the students will be able to",,,,,,,,,,,,,
1.,,,"Understand concepts of Theoretical Computer Science, difference and equivalence
of DFA and NFA , languages described by finite automata and regular expressions.",,,,,,,,,,
2.,,,"Design Context free grammer, pushdown automata to recognize the language.",,,,,,,,,,
,3.,,,Develop an understanding of computation through Turing Machine.,,,,,,,,,
4.,4.,,Acquire fundamental understanding of decidability and undecidability.,,,,,,,,,,
Build concepts of theoretical design of deterministic and non-deterministic finite,,,,,,,,,,,,,
automata and push down automata.,,,,,,,,,,,,,
"Module
No.","Unit
No.",Topics,"Theory
Hrs.",,,,,,,,,,
1.0,,Basic Concepts and Finite Automata,09,,,,,,,,,,
,1.1,"Importance of TCS, Alphabets, Strings, Languages, Closure
properties, Finite Automata (FA) and Finite State machine
(FSM).",,,,,,,,,,,
,1.2,"Deterministic Finite Automata (DFA) and Nondeterministic
Finite Automata (NFA): Definitions, transition diagrams and
Language recognizers, Equivalence between NFA with and
without ε- transitions, NFA to DFA Conversion, Minimization
of DFA, FSM with output: Moore and Mealy machines,
Applications and limitations of FA.",,,,,,,,,,,
2.0,,Regular Expressions and Languages,07,,,,,,,,,,
,2.1,"Regular Expression (RE),Equivalence of RE and FA, Arden‘s
Theorem, RE Applications",,,,,,,,,,,
,2.2,"Regular Language (RL), Closure properties of RLs, Decision
properties of RLs, Pumping lemma for RLs.",,,,,,,,,,,
3.0,,Grammars,08,,,,,,,,,,
,3.1,Grammars and Chomsky hierarchy,,,,,,,,,,,
,3.2,"Regular Grammar (RG), Equivalence of Left and Right
linear grammar, Equivalence of RG and FA.",,,,,,,,,,,
,3.3,"Context Free Grammars (CFG)
Definition, Sentential forms, Leftmost and Rightmost
derivations, Parse tree, Ambiguity, Simplification and
Applications, Normal Forms: Chomsky Normal Forms
(CNF) and Greibach Normal Forms (GNF), Context Free
language (CFL) - Pumping lemma, Closure properties.",,,,,,,,,,,
4.0,,Pushdown Automata(PDA),04,,,,,,,,,,
,4.1,"Definition, Language of PDA,PDA as generator, decider and
acceptor of CFG, Deterministic PDA , Non-Deterministic
PDA, Application of PDA.",,,,,,,,,,,
5.0,,Turing Machine (TM),09,,,,,,,,,,
,5.1,"Definition, Design of TM as generator, decider and acceptor,
Variants of TM: Multitrack, Multitape, Universal TM,
Applications, Power and Limitations of TMs.",,,,,,,,,,,
6.0,,Undecidability,02,,,,,,,,,,
,6.1,"Decidability and Undecidability, Recursive and Recursively
Enumerable Languages, Halting Problem, Rice‘s Theorem,
Post Correspondence Problem.",,,,,,,,,,,
,,Total,39,,,,,,,,,,
Text Books:,,,,,,,,,,,,,
1.,"John E. Hopcroft, Rajeev Motwani, Jeffery D. Ullman, “Introduction to Automata
Theory, Languages and Computation”, 3rd Edition, Pearson Education, 2008.",,,,,,,,,,,,
2.,"Michael Sipser, “Theory of Computation”, 3rd Edition, Cengage learning. 2013.",,,,,,,,,,,,
3.,"Vivek Kulkarni, “Theory of Computation”, Illustrated Edition, Oxford University
Press, (12 April 2013) India.",,,,,,,,,,,,
Reference Books:,,,,,,,,,,,,,
1.,"J. C. Martin, “Introduction to Languages and the Theory of Computation”, 4th Edition,
Tata McGraw Hill Publication, 2013.",,,,,,,,,,,,
2.,"Kavi Mahesh, “Theory of Computation: A Problem Solving Approach”, Kindle
Edition, Wiley-India, 2011.",,,,,,,,,,,,
Assessment:,,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,,
1.,Assessment consists of two class tests of 20 marks each.,,,,,,,,,,,,
2.,"The first class test is to be conducted when approx. 40% syllabus is completed and
second class test when additional 40% syllabus is completed.",,,,,,,,,,,,
3.,Duration of each test shall be one hour.,,,,,,,,,,,,
Term work:,,,,,,,,,,,,,
1.,,"Term Work should consist of at least 06 assignments (at least one assignment on
each module).",,,,,,,,,,,
2.,Assignment (best 5 assignments),20 marks,,,,,,,,,,,
,Attendance,5 marks,,,,,,,,,,,
3.,"It is recommended to use JFLAP software (www.jflap.org) for better teaching and
learning processes.",,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,,
1.,"Question paper will comprise of 6 questions, each carrying 20 marks.",,,,,,,,,,,,
2.,The students need to solve total 4 questions.,,,,,,,,,,,,
3.,Question No.1 will be compulsory and based on entire syllabus.,,,,,,,,,,,,
4.,Remaining questions (Q.2 to Q.6) will cover all the modules of syllabus.,,,,,,,,,,,,
Useful Links:,,,,,,,,,,,,,
1.,www.jflap.org,,,,,,,,,,,,
2.,https://nptel.ac.in/courses/106/104/106104028/,,,,,,,,,,,,
3.,https://nptel.ac.in/courses/106/104/106104148/,,,,,,,,,,,,
Course Code:,Course Title,Credit,,,,,,,,,,,
CSC502,Software Engineering,3,,,,,,,,,,,
"Prerequisite: Object Oriented Programming with Java , Python Programming",,,,,,,,,,,,,
Course Objectives:,,,,,,,,,,,,,
1,To provide the knowledge of software engineering discipline.,,,,,,,,,,,,
2,"To apply analysis, design and testing principles to software project development.",,,,,,,,,,,,
3,To demonstrate and evaluate real world software projects.,,,,,,,,,,,,
"Course Outcomes: On successful completion of course, learners will be able to:",,,,,,,,,,,,,
1,Identify requirements & assess the process models.,,,,,,,,,,,,
2,"Plan, schedule and track the progress of the projects.",,,,,,,,,,,,
3,Design the software projects.,,,,,,,,,,,,
4,Do testing of software project.,,,,,,,,,,,,
5,"Identify risks, manage the change to assure quality in software projects.",,,,,,,,,,,,
Module,,Content,Hrs,,,,,,,,,,
1,,Introduction To Software Engineering and Process Models,7,,,,,,,,,,
,1.1,"Software Engineering-process framework, the Capability Maturity Model
(CMM), Advanced Trends in Software Engineering",,,,,,,,,,,
,1.2,"Prescriptive Process Models: The Waterfall, Incremental
Process Models, Evolutionary Process Models: RAD & Spiral",,,,,,,,,,,
,1.3,"Agile process model: Extreme Programming (XP), Scrum, Kanban",,,,,,,,,,,
2,,Software Requirements Analysis and Modeling,4,,,,,,,,,,
,2.1,"Requirement Engineering, Requirement Modeling, Data flow diagram,
Scenario based model",,,,,,,,,,,
,2.2,Software Requirement Specification document format(IEEE),,,,,,,,,,,
3,,Software Estimation Metrics,7,,,,,,,,,,
,3.1,"Software Metrics, Software Project Estimation (LOC, FP, COCOMO II )",,,,,,,,,,,
,3.2,Project Scheduling & Tracking,,,,,,,,,,,
4,,Software Design,7,,,,,,,,,,
,4.1,Design Principles & Concepts,,,,,,,,,,,
,4.2,"Effective Modular Design, Cohesion and Coupling, Architectural design",,,,,,,,,,,
5,,Software Testing,7,,,,,,,,,,
,5.1,"Unit testing, Integration testing, Validation testing, System testing",,,,,,,,,,,
,5.2,"Testing Techniques, white-box testing: Basis path, Control structure testing
black-box testing: Graph based, Equivalence, Boundary Value",,,,,,,,,,,
,5.3,"Types of Software Maintenance, Re-Engineering, Reverse Engineering",,,,,,,,,,,
6,,"Software Configuration Management, Quality Assurance and
Maintenance",7,,,,,,,,,,
,6.1,"Risk Analysis & Management: Risk Mitigation, Monitoring and
Management Plan (RMMM).",,,,,,,,,,,
,6.2,"Quality Concepts and Software Quality assurance Metrics, Formal Technical
Reviews, Software Reliability",,,,,,,,,,,
,6.3,"The Software Configuration Management (SCM) ,Version Control and
Change Control",,,,,,,,,,,
,,,39,,,,,,,,,,
Textbooks:,,,,,,,,,,,,,
1,"Roger Pressman, “Software Engineering: A Practitioner‘s Approach”, 9th edition ,
McGraw-Hill Publications, 2019",,,,,,,,,,,,
2,"Ian Sommerville, “Software Engineering”, 9th edition, Pearson Education, 2011",,,,,,,,,,,,
3,"Ali Behfrooz and Fredeick J. Hudson, ""Software Engineering Fundamentals"", Oxford
University Press, 1997",,,,,,,,,,,,
4,"Grady Booch, James Rambaugh, Ivar Jacobson, “The unified modeling language user
guide”, 2nd edition, Pearson Education, 2005",,,,,,,,,,,,
References:,,,,,,,,,,,,,
1,"Pankaj Jalote, ""An integrated approach to Software Engineering"", 3rd edition, Springer,
2005",,,,,,,,,,,,
2,"Rajib Mall, ""Fundamentals of Software Engineering"", 5th edition, Prentice Hall India, 2014",,,,,,,,,,,,
3,"Jibitesh Mishra and Ashok Mohanty, “Software Engineering”, Pearson , 2011",,,,,,,,,,,,
4,"Ugrasen Suman, “Software Engineering – Concepts and Practices”, Cengage Learning,
2013",,,,,,,,,,,,
5,"Waman S Jawadekar, “Software Engineering principles and practice”, McGraw Hill
Education, 2004",,,,,,,,,,,,
Assessment:,,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,,
"Assessment consists of two class tests of 20 marks each. The first-class test is to be conducted when
approx. 40% syllabus is completed and the second-class test when an additional 40% syllabus is
completed. Duration of each test shall be one hour.",,,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,,
1,Question paper will comprise a total of six questions.,,,,,,,,,,,,
2,All question carries equal marks,,,,,,,,,,,,
3,Only Four questions need to be solved.,,,,,,,,,,,,
4,"In question paper weightage of each module will be proportional to number of respective
lecture hours as mentioned in the syllabus.",,,,,,,,,,,,
Useful Links,,,,,,,,,,,,,
1,https://nptel.ac.in/courses/106/105/106105182/,,,,,,,,,,,,
2,https://onlinecourses.nptel.ac.in/noc19_cs69/preview,,,,,,,,,,,,
3,https://www.mooc-list.com/course/software-engineering-introduction-edx,,,,,,,,,,,,
Course Code:,Course Title,Credit,,,,,,,,,,,
CSC503,Computer Network,3,,,,,,,,,,,
Prerequisite: None,,,,,,,,,,,,,
Course Objectives:,,,,,,,,,,,,,
1,To introduce concepts and fundamentals of data communication and computer networks.,,,,,,,,,,,,
2,To explore the inter-working of various layers of OSI.,,,,,,,,,,,,
3,"To explore the issues and challenges of protocols design while delving into TCP/IP protocol
suite.",,,,,,,,,,,,
4,To assess the strengths and weaknesses of various routing algorithms.,,,,,,,,,,,,
5,To understand various transport layer and application layer protocols.,,,,,,,,,,,,
"Course Outcomes: On successful completion of course, learner will be able to",,,,,,,,,,,,,
1,"Demonstrate the concepts of data communication at physical layer and compare ISO - OSI
model with TCP/IP model.",,,,,,,,,,,,
2,Explore different design issues at data link layer.,,,,,,,,,,,,
3,Design the network using IP addressing and sub netting / supernetting schemes.,,,,,,,,,,,,
4,Analyze transport layer protocols and congestion control algorithms.,,,,,,,,,,,,
5,Explore protocols at application layer,,,,,,,,,,,,
Module,,Content,Hrs,,,,,,,,,,
1,,Introduction to Networking,4,,,,,,,,,,
,1.1,"Introduction to computer network, network application, network
software and hardware components (Interconnection networking devices),
Network topology, protocol hierarchies, design issues for the layers,
connection oriented and connectionless services",,,,,,,,,,,
,1.2,"Reference models: Layer details of OSI, TCP/IP models. Communication
between layers.",,,,,,,,,,,
2,,Physical Layer,3,,,,,,,,,,
,2.1,Introduction to Communication Electromagnetic Spectrum,,,,,,,,,,,
,2.2,"Guided Transmission Media: Twisted pair, Coaxial, Fiber optics.",,,,,,,,,,,
3,,Data Link Layer,8,,,,,,,,,,
,3.1,"DLL Design Issues (Services, Framing, Error Control, Flow Control),
Error Detection and Correction(Hamming Code, CRC, Checksum) ,
Elementary Data Link protocols , Stop and Wait, Sliding Window(Go
Back N, Selective Repeat)",,,,,,,,,,,
,3.2,"Medium Access Control sublayer
Channel Allocation problem, Multiple access Protocol( Aloha, Carrier
Sense Multiple Access (CSMA/CD)",,,,,,,,,,,
4,,Network layer,12,,,,,,,,,,
,4.1,"Network Layer design issues, Communication Primitives: Unicast,
Multicast, Broadcast. IPv4 Addressing (classfull and classless),
Subnetting, Supernetting design problems ,IPv4 Protocol, Network
Address Translation (NAT), IPv6",,,,,,,,,,,
,4.2,"Routing algorithms : Shortest Path (Dijkastra‘s), Link state routing,
Distance Vector Routing",,,,,,,,,,,
,4.3,"Protocols - ARP,RARP, ICMP, IGMP",,,,,,,,,,,
,4.4,"Congestion control algorithms: Open loop congestion control, Closed
loop congestion control, QoS parameters, Token & Leaky bucket algorithms",,,,,,,,,,,
5,,Transport Layer,6,,,,,,,,,,
,5.1,"The Transport Service: Transport service primitives, Berkeley Sockets,
Connection management (Handshake), UDP, TCP, TCP state transition,
TCP timers",,,,,,,,,,,
,5.2,"TCP Flow control (sliding Window), TCP Congestion Control: Slow Start",,,,,,,,,,,
6,,Application Layer,6,,,,,,,,,,
,6.1,"DNS: Name Space, Resource Record and Types of Name Server. HTTP,
SMTP, Telnet, FTP, DHCP",,,,,,,,,,,
Textbooks:,,,,,,,,,,,,,
1,"A.S. Tanenbaum, Computer Networks,4th edition Pearson Education",,,,,,,,,,,,
2,"B.A. Forouzan, Data Communications and Networking, 5th edition, TMH",,,,,,,,,,,,
3,"James F. Kurose, Keith W. Ross, Computer Networking, A Top-Down Approach
Featuring the Internet,6th edition, Addison Wesley",,,,,,,,,,,,
References:,,,,,,,,,,,,,
1,"S.Keshav,An Engineering Approach To Computer Networking, Pearson",,,,,,,,,,,,
2,"Natalia Olifer & Victor Olifer,Computer Networks: Principles, Technologies &
Protocols for Network Design, Wiley India, 2011.",,,,,,,,,,,,
3,"Larry L.Peterson, Bruce S.Davie, Computer Networks: A Systems Approach, Second
Edition ,The Morgan Kaufmann Series in Networking",,,,,,,,,,,,
Assessment:,,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,,
"Assessment consists of two class tests of 20 marks each. The first class test is to be conducted
when approx. 40% syllabus is completed and second class test when additional 40% syllabus is
completed. Duration of each test shall be one hour.",,,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,,
1,Question paper will comprise of total six questions.,,,,,,,,,,,,
2,All question carries equal marks,,,,,,,,,,,,
3,"Questions will be mixed in nature (for example supposed Q.2 has part (a) from module 3
then part (b) will be from any module other than module 3)",,,,,,,,,,,,
4,Only Four question need to be solved.,,,,,,,,,,,,
5,"In question paper weightage of each module will be proportional to number of respective
lecture hours as mention in the syllabus.",,,,,,,,,,,,
Useful Links,,,,,,,,,,,,,
1,https://www.netacad.com/courses/networking/networking-essentials,,,,,,,,,,,,
2,,https://www.coursera.org/learn/computer-networking,,,,,,,,,,,
3,,https://nptel.ac.in/courses/106/105/106105081,,,,,,,,,,,
4,https://www.edx.org/course/introduction-to-networking,,,,,,,,,,,,
Course Code:,Course Title,Credit,,,,,,,,,,,
CSC504,Data Warehousing and Mining,3,,,,,,,,,,,
Prerequisite: Database Concepts,,,,,,,,,,,,,
Course Objectives:,,,,,,,,,,,,,
1.,To identify the significance of Data Warehousing and Mining.,,,,,,,,,,,,
2.,"To analyze data, choose relevant models and algorithms for respective applications.",,,,,,,,,,,,
3.,To study web data mining.,,,,,,,,,,,,
4.,To develop research interest towards advances in data mining.,,,,,,,,,,,,
"Course Outcomes: At the end of the course, the student will be able to",,,,,,,,,,,,,
1.,"Understand data warehouse fundamentals and design data warehouse with dimensional
modelling and apply OLAP operations.",,,,,,,,,,,,
2.,Understand data mining principles and perform Data preprocessing and Visualization.,,,,,,,,,,,,
3.,Identify appropriate data mining algorithms to solve real world problems.,,,,,,,,,,,,
4.,"Compare and evaluate different data mining techniques like classification, prediction, clustering
and association rule mining",,,,,,,,,,,,
5.,Describe complex information and social networks with respect to web mining.,,,,,,,,,,,,
Module,Content,Hrs,,,,,,,,,,,
1,Data Warehousing Fundamentals,8,,,,,,,,,,,
,"Introduction to Data Warehouse, Data warehouse architecture, Data warehouse
versus Data Marts, E-R Modeling versus Dimensional Modeling, Information
Package Diagram, Data Warehouse Schemas; Star Schema, Snowflake Schema,
Factless Fact Table, Fact Constellation Schema. Update to the dimension tables.
Major steps in ETL process, OLTP versus OLAP, OLAP operations: Slice, Dice,
Rollup, Drilldown and Pivot.",,,,,,,,,,,,
2,"Introduction to Data Mining, Data Exploration and Data Pre-processing",8,,,,,,,,,,,
,"Data Mining Task Primitives, Architecture, KDD process, Issues in Data Mining,
Applications of Data Mining, Data Exploration: Types of Attributes, Statistical
Description of Data, Data Visualization, Data Preprocessing: Descriptive data
summarization, Cleaning, Integration & transformation, Data reduction, Data
Discretization and Concept hierarchy generation.",,,,,,,,,,,,
3,Classification,6,,,,,,,,,,,
,"Basic Concepts, Decision Tree Induction, Naïve Bayesian Classification,
Accuracy and Error measures, Evaluating the Accuracy of a Classifier: Holdout
& Random Subsampling, Cross Validation, Bootstrap.",,,,,,,,,,,,
4,Clustering,6,,,,,,,,,,,
,"Types of data in Cluster analysis, Partitioning Methods (k-Means, k-Medoids),
Hierarchical Methods (Agglomerative, Divisive).",,,,,,,,,,,,
5,Mining frequent patterns and associations,6,,,,,,,,,,,
,"Market Basket Analysis, Frequent Item sets, Closed Item sets, and Association
Rule, Frequent Pattern Mining, Apriori Algorithm, Association Rule Generation,
Improving the Efficiency of Apriori, Mining Frequent Itemsets without candidate
generation, Introduction to Mining Multilevel Association Rules and Mining
Multidimensional Association Rules.",,,,,,,,,,,,
6,Web Mining,5,,,,,,,,,,,
,"Introduction, Web Content Mining: Crawlers, Harvest System, Virtual Web View,
Personalization, Web Structure Mining: Page Rank, Clever, Web Usage Mining.",,,,,,,,,,,,
Textbooks:,,,,,,,,,,,,,
1,"Paulraj Ponniah, “ Data Warehousing: Fundamentals for IT Professionals”, Wiley India.",,,,,,,,,,,,
2,"Han, Kamber, “Data Mining Concepts and Techniques”, Morgan Kaufmann 2nd edition.",,,,,,,,,,,,
3,"M.H. Dunham, “Data Mining Introductory and Advanced Topics”, Pearson Education.",,,,,,,,,,,,
References:,,,,,,,,,,,,,
1,"Reema Theraja, “Data warehousing”, Oxford University Press 2009.",,,,,,,,,,,,
2,"Pang-Ning Tan, Michael Steinbach and Vipin Kumar, “Introduction to Data Mining”,
Pearson Publisher 2nd edition.",,,,,,,,,,,,
3,"Ian H. Witten, Eibe Frank and Mark A. Hall, “Data Mining”, Morgan Kaufmann 3rd edition.",,,,,,,,,,,,
Assessment:,,,,,,,,,,,,,
Internal Assessment:,,,,,,,,,,,,,
"Assessment consists of two class tests of 20 marks each. The first-class test is to be conducted when
approx. 40% syllabus is completed and second-class test when additional 40% syllabus is
completed. Duration of each test shall be one hour.",,,,,,,,,,,,,
End Semester Theory Examination:,,,,,,,,,,,,,
1,Question paper will comprise of total six questions.,,,,,,,,,,,,
2,All question carries equal marks,,,,,,,,,,,,
3,"Questions will be mixed in nature (for example, If Q.2 part (a) from module 3 then part (b)
can be from any module other than module 3)",,,,,,,,,,,,
4,Only Four questions need to be solved.,,,,,,,,,,,,
5,"In question paper weightage of each module will be proportional to the number of respective
lecture hours as mentioned in the syllabus.",,,,,,,,,,,,
Useful Links,,,,,,,,,,,,,
1,https://onlinecourses.nptel.ac.in/noc20_cs12/preview,,,,,,,,,,,,
2,https://www.coursera.org/specializations/data-mining,,,,,,,,,,,,
Course Code:,Course Title,Credit,,,,,,,,,,,
CSDLO5011,Probabilistic Graphical Models,3,,,,,,,,,,,
"Prerequisite: Engineering Mathematics, Discrete Structure",,,,,,,,,,,,,
Course Objectives:,,,,,,,,,,,,,
1,,To give comprehensive introduction of probabilistic graphical models,,,,,,,,,,,
2,,"To make inferences, learning, actions and decisions while applying these models",,,,,,,,,,,
3,,To introduce real-world trade-offs when using probabilistic graphical models in practice,,,,,,,,,,,
4,,To develop the knowledge and skills necessary to apply these models to solve real world,,,,,,,,,,,
,,problems.,,,,,,,,,,,
"Course Outcomes: At the end of the course, the student will be able to",,,,,,,,,,,,,
1,Understand,,basic concepts of probabilistic graphical modelling,.,,,,,,,,,
2,,"Model and extract inference from various graphical models like Bayesian Networks, Markov",,,,,,,,,,,
,,Models,,,,,,,,,,,
3,,Perform learning and take actions and decisions using probabilistic graphical models,,,,,,,,,,,
4,,Represent real world problems using graphical models; design inference algorithms; and learn,,,,,,,,,,,
,,the structure of the graphical model from data.,,,,,,,,,,,
5,Design real life applications using probabilistic graphical models.,,,,,,,,,,,,
Module,,Content,Hrs,,,,,,,,,,
1.,,Introduction to Probabilistic Graphical Modeling,5,,,,,,,,,,
,1.1,"Introduction to Probability Theory:
Probability Theory, Basic Concepts in Probability, Random
Variables and Joint Distribution, Independence and Conditional
Independence, Continuous Spaces, Expectation and Variances",,,,,,,,,,,
,1.2,"Introduction to Graphs: Nodes and Edges, Subgraphs, Paths and
Trails, Cycles and Loops",,,,,,,,,,,
,1.3,"Introduction to Probabilistic Graph Models: Bayesian Network,
Markov Model, Hidden Markov Model",,,,,,,,,,,
,1.4,Applications of PGM,,,,,,,,,,,
2.,,Bayesian Network Model and Inference,10,,,,,,,,,,
,2.1,"Directed Graph Model: Bayesian Network-Exploiting Independence
Properties, Naive Bayes Model, Bayesian Network Model,
Reasoning Patterns, Basic Independencies in Bayesian Networks,
Bayesian Network Semantics, Graphs and Distributions. Modelling:
Picking variables, Picking Structure, Picking Probabilities, D-
separation",,,,,,,,,,,
,2.2,"Local Probabilistic Models: Tabular CPDs, Deterministic CPDs,
Context Specific CPDs, Generalized Linear Models.",,,,,,,,,,,
"Introduction to Graphs: Nodes and Edges, Subgraphs, Paths and",,,,,,,,,,,,,
"Trails, Cycles and Loops",,,,,,,,,,,,,
"Introduction to Probabilistic Graph Models: Bayesian Network,",,,,,,,,,,,,,
"Markov Model, Hidden Markov Model",,,,,,,,,,,,,
Directed Graph Model: Bayesian Network-Exploiting Independence,,,,,,,,,,,,,
"Properties, Naive Bayes Model, Bayesian Network Model,",,,,,,,,,,,,,
"Reasoning Patterns, Basic Independencies in Bayesian Networks,",,,,,,,,,,,,,
"Bayesian Network Semantics, Graphs and Distributions. Modelling:",,,,,,,,,,,,,
"Picking variables, Picking Structure, Picking Probabilities, D-",,,,,,,,,,,,,
separation,,,,,,,,,,,,,
"Local Probabilistic Models: Tabular CPDs, Deterministic CPDs,",,,,,,,,,,,,,
"Context Specific CPDs, Generalized Linear Models.",,,,,,,,,,,,,
,2.3,"Exact inference variable elimination: Analysis of Complexity,
Variable Elimination, Conditioning, Inference with Structured CPDs.",,,,,,,,,,,
3.,,Markov Network Model and Inference,8,,,,,,,,,,
,3.1,"Undirected Graph Model : Markov Model-Markov Network,
Parameterization of Markov Network, Gibb's distribution, Reduced
Markov Network, Markov Network Independencies, From
Distributions to Graphs, Fine Grained Parameterization, Over
Parameterization",,,,,,,,,,,
,3.2,"Exact inference variable elimination: Graph Theoretic Analysis for
Variable Elimination, Conditioning",,,,,,,,,,,
4.,,Hidden Markov Model and Inference,6,,,,,,,,,,
,4.1,"Template Based Graph Model : HMM- Temporal Models, Template
Variables and Template Factors, Directed Probabilistic Models,
Undirected Representation, Structural Uncertainty.",,,,,,,,,,,
5.,,Learning and Taking Actions and Decisions,6,,,,,,,,,,
,5.1,"Learning Graphical Models: Goals of Learning, Density Estimation,
Specific Prediction Tasks, Knowledge Discovery. Learning as
Optimization: Empirical Risk, over fitting, Generalization,
Evaluating Generalization Performance, Selecting a Learning
Procedure, Goodness of fit, Learning Tasks. Parameter Estimation:
Maximum Likelihood Estimation, MLE for Bayesian Networks",,,,,,,,,,,
,5.2,"Causality: Conditioning and Intervention, Correlation and Causation,
Causal Models, Structural Causal Identifiability, Mechanisms and
Response Variables, Learning Causal Models. Utilities and
Decisions: Maximizing Expected Utility, Utility Curves, Utility
Elicitation. Structured Decision Problems: Decision Tree",,,,,,,,,,,
6.,,Applications,4,,,,,,,,,,
,6.1,"Application of Bayesian Networks: Classification, Forecasting,
Decision Making",,,,,,,,,,,
,6.2,"Application of Markov Models: Cost Effectiveness Analysis,
Relational Markov Model and its Applications, Application in
Portfolio Optimization",,,,,,,,,,,
,6.3,"Application of HMM: Speech Recognition, Part of Speech Tagging,
Bioinformatics.",,,,,,,,,,,
"Exact inference variable elimination: Analysis of Complexity,",,,,,,,,,,,,,
"Variable Elimination, Conditioning, Inference with Structured CPDs.",,,,,,,,,,,,,
"Undirected Graph Model : Markov Model-Markov Network,",,,,,,,,,,,,,
"Parameterization of Markov Network, Gibb's distribution, Reduced",,,,,,,,,,,,,
"Markov Network, Markov Network Independencies, From",,,,,,,,,,,,,
"Distributions to Graphs, Fine Grained Parameterization, Over",,,,,,,,,,,,,
Parameterization,,,,,,,,,,,,,
Exact inference variable elimination: Graph Theoretic Analysis for,,,,,,,,,,,,,
"Variable Elimination, Conditioning",,,,,,,,,,,,,
"Template Based Graph Model : HMM- Temporal Models, Template",,,,,,,,,,,,,
"Variables and Template Factors, Directed Probabilistic Models,",,,,,,,,,,,,,
"Undirected Representation, Structural Uncertainty.",,,,,,,,,,,,,
